Donem,n,alpha,beta,gamma,kalicilik,nu,lambda,AIC,BIC
Donem 1 (Oncesi),10895,0.37609495450231545,0.9388554999598554,-0.03488908742484107,0.9388554999598554,,-0.03837329200639208,110421.11844513778,110486.78132607852
Donem 2 (Sonrasi),6409,0.3427823499482848,0.9614147916933268,-0.012834729249048694,0.9614147916933268,,-0.005729524307874613,64373.65213698012,64434.53845477487
