Model,RMSE,MAE,QLIKE,tahmin_sayisi,fit_sayisi,sira
GARCH_skewt,5.98854123822501,3.7590101441534087,1.7929942216591936,3465,145,1
GJR_t,5.928596560584087,3.7461222362795645,1.796233870186508,3465,145,2
GJR_skewt,5.910980935262081,3.7433360792505717,1.7995041857065481,3465,145,3
EGARCH_skewt,5.88022527943008,3.751252219714664,1.8427387608699537,3465,145,4
